instance,metric,statistic,baseline_value,candidate_value,absolute_delta,relative_delta,classification,gate_status,reason
c106C15,total_energy,worst,275.1331688731623,275.1331688731623,0.0,0.0,unchanged,pass,total_energy worst is equal within tolerance 1e-09
c106C15,total_energy,standard_deviation,0.0,0.0,0.0,0.0,unchanged,pass,total_energy standard_deviation is equal within tolerance 1e-09
c106C15,vehicle_count,best,3.0,3.0,0.0,0.0,unchanged,pass,vehicle_count best is equal within tolerance 1e-09
c106C15,vehicle_count,mean,3.0,3.0,0.0,0.0,unchanged,pass,vehicle_count mean is equal within tolerance 1e-09
c106C15,vehicle_count,median,3.0,3.0,0.0,0.0,unchanged,pass,vehicle_count median is equal within tolerance 1e-09
c106C15,vehicle_count,worst,3.0,3.0,0.0,0.0,unchanged,pass,vehicle_count worst is equal within tolerance 1e-09
c106C15,vehicle_count,standard_deviation,0.0,0.0,0.0,0.0,unchanged,pass,vehicle_count standard_deviation is equal within tolerance 1e-09
r101_21,feasibility_rate,mean,1.0,1.0,0.0,0.0,unchanged,pass,feasibility_rate mean is equal within tolerance 1e-09
r101_21,iterations,best,7.0,7.0,0.0,0.0,unchanged,pass,iterations best is equal within tolerance 1e-09
r101_21,iterations,mean,6.666666666666667,6.666666666666667,0.0,0.0,unchanged,pass,iterations mean is equal within tolerance 1e-09
r101_21,iterations,median,7.0,7.0,0.0,0.0,unchanged,pass,iterations median is equal within tolerance 1e-09
r101_21,iterations,worst,6.0,6.0,0.0,0.0,unchanged,pass,iterations worst is equal within tolerance 1e-09
r101_21,iterations,standard_deviation,0.4714045207910317,0.4714045207910317,0.0,0.0,unchanged,pass,iterations standard_deviation is equal within tolerance 1e-09
r101_21,runtime_seconds,best,30.001003874996968,30.000152332999278,-0.0008515419976902194,-2.8383783463989352e-05,improvement,pass,candidate improved because lower runtime_seconds best is better
r101_21,runtime_seconds,mean,30.01404666700061,30.003130652335432,-0.010916014665177443,-0.0003636968645477325,improvement,pass,candidate improved because lower runtime_seconds mean is better
r101_21,runtime_seconds,median,30.004600667001796,30.001781208004104,-0.0028194589976919815,-9.396755614190667e-05,improvement,pass,candidate improved because lower runtime_seconds median is better
r101_21,runtime_seconds,worst,30.036535459003062,30.00745841600292,-0.02907704300014302,-0.0009680558212124813,improvement,pass,candidate improved because lower runtime_seconds worst is better
r101_21,runtime_seconds,standard_deviation,0.015969628517464113,0.0031316089811832732,-0.01283801953628084,-0.8039022023737998,improvement,pass,candidate improved because lower runtime_seconds standard_deviation is better
r101_21,total_charged_energy,best,820.7012314618246,820.7012314618246,0.0,0.0,unchanged,pass,total_charged_energy best is equal within tolerance 1e-09
r101_21,total_charged_energy,mean,842.2535060244876,842.2535060244876,0.0,0.0,unchanged,pass,total_charged_energy mean is equal within tolerance 1e-09
