run_label,instance,seed,metric,value
stage03.2_cache_incremental_attempt03,c106C15,2015,incremental_fallbacks,0
stage03.2_cache_incremental_attempt03,c106C15,2015,incremental_propagations,44
stage03.2_cache_incremental_attempt03,c106C15,2016,cache_evictions,0
stage03.2_cache_incremental_attempt03,c106C15,2016,cache_hits,53096
stage03.2_cache_incremental_attempt03,c106C15,2016,cache_lookups,54598
stage03.2_cache_incremental_attempt03,c106C15,2016,cache_misses,1502
stage03.2_cache_incremental_attempt03,c106C15,2016,cache_oversize_not_cached,0
stage03.2_cache_incremental_attempt03,c106C15,2016,cache_stores,1502
stage03.2_cache_incremental_attempt03,c106C15,2016,incremental_fallbacks,0
stage03.2_cache_incremental_attempt03,c106C15,2016,incremental_propagations,44
stage03.2_cache_incremental_attempt03,r101_21,2014,cache_evictions,0
stage03.2_cache_incremental_attempt03,r101_21,2014,cache_hits,26184
stage03.2_cache_incremental_attempt03,r101_21,2014,cache_lookups,27767
stage03.2_cache_incremental_attempt03,r101_21,2014,cache_misses,1583
stage03.2_cache_incremental_attempt03,r101_21,2014,cache_oversize_not_cached,0
stage03.2_cache_incremental_attempt03,r101_21,2014,cache_stores,1583
stage03.2_cache_incremental_attempt03,r101_21,2014,incremental_fallbacks,0
stage03.2_cache_incremental_attempt03,r101_21,2014,incremental_propagations,47
stage03.2_cache_incremental_attempt03,r101_21,2015,cache_evictions,0
stage03.2_cache_incremental_attempt03,r101_21,2015,cache_hits,30058
stage03.2_cache_incremental_attempt03,r101_21,2015,cache_lookups,31371
stage03.2_cache_incremental_attempt03,r101_21,2015,cache_misses,1313
stage03.2_cache_incremental_attempt03,r101_21,2015,cache_oversize_not_cached,0
stage03.2_cache_incremental_attempt03,r101_21,2015,cache_stores,1313
stage03.2_cache_incremental_attempt03,r101_21,2015,incremental_fallbacks,0
stage03.2_cache_incremental_attempt03,r101_21,2015,incremental_propagations,47
stage03.2_cache_incremental_attempt03,r101_21,2016,cache_evictions,0
stage03.2_cache_incremental_attempt03,r101_21,2016,cache_hits,29789
stage03.2_cache_incremental_attempt03,r101_21,2016,cache_lookups,31141
stage03.2_cache_incremental_attempt03,r101_21,2016,cache_misses,1352
stage03.2_cache_incremental_attempt03,r101_21,2016,cache_oversize_not_cached,0
stage03.2_cache_incremental_attempt03,r101_21,2016,cache_stores,1352
stage03.2_cache_incremental_attempt03,r101_21,2016,incremental_fallbacks,0
stage03.2_cache_incremental_attempt03,r101_21,2016,incremental_propagations,47
stage03.2_cache_incremental_attempt03,r103C10,2014,cache_evictions,0
stage03.2_cache_incremental_attempt03,r103C10,2014,cache_hits,20542
stage03.2_cache_incremental_attempt03,r103C10,2014,cache_lookups,21339
stage03.2_cache_incremental_attempt03,r103C10,2014,cache_misses,797
stage03.2_cache_incremental_attempt03,r103C10,2014,cache_oversize_not_cached,0
stage03.2_cache_incremental_attempt03,r103C10,2014,cache_stores,797
stage03.2_cache_incremental_attempt03,r103C10,2014,incremental_fallbacks,0
stage03.2_cache_incremental_attempt03,r103C10,2014,incremental_propagations,34
