"source_path","source_sha256","source_bytes","disposition","target_path","target_sha256","reason"
"experiments/summaries/stage05.1_best_known_attempt02_review_findings.csv","f9fc7abe2e2ab0023d1485724aec1781ec5bc9beec1a5b28397dc44507a2bfd4","335","migrated_unchanged","experiments/summaries/stage05.1_best_known_attempt02_review_findings.csv","f9fc7abe2e2ab0023d1485724aec1781ec5bc9beec1a5b28397dc44507a2bfd4","Byte-identical scientific source retained"
"experiments/summaries/stage05.1_best_known_attempt02_review_manifest.json","0870cd68f905ff2fb11a22312a76fb19cd4c8c1d039ed208e4e0d4a2fefdaed5","841","migrated_unchanged","experiments/summaries/stage05.1_best_known_attempt02_review_manifest.json","0870cd68f905ff2fb11a22312a76fb19cd4c8c1d039ed208e4e0d4a2fefdaed5","Byte-identical scientific source retained"
"experiments/summaries/stage05.1_best_known_attempt02_review_report.md","35707af25fe306b2a952db3ece5ec5aa13ff7c3a9c20f93fb6fed9dbc309cb06","609","migrated_unchanged","experiments/summaries/stage05.1_best_known_attempt02_review_report.md","35707af25fe306b2a952db3ece5ec5aa13ff7c3a9c20f93fb6fed9dbc309cb06","Byte-identical scientific source retained"
"experiments/summaries/stage05.1_best_known_attempt02_summary_report.md","ac1cdab09fb798b689103ee56c41362f91912fc72732ba92e68a8f05e21eeb28","2671","migrated_unchanged","experiments/summaries/stage05.1_best_known_attempt02_summary_report.md","ac1cdab09fb798b689103ee56c41362f91912fc72732ba92e68a8f05e21eeb28","Byte-identical scientific source retained"
"experiments/summaries/stage05.1_best_known_attempt03_bks_data.csv","e0574b0d4d59ba41388efcc591a4351694806a6ad22e20b5a64b265fdd87e29c","52262","migrated_unchanged","experiments/summaries/stage05.1_best_known_attempt03_bks_data.csv","e0574b0d4d59ba41388efcc591a4351694806a6ad22e20b5a64b265fdd87e29c","Byte-identical scientific source retained"
"experiments/summaries/stage05.1_best_known_attempt03_compatibility_assessment.csv","00a8b38fc33e14c1587b29b648c8ea18842bc591c69f0da746207c349bf5062f","1624","migrated_unchanged","experiments/summaries/stage05.1_best_known_attempt03_compatibility_assessment.csv","00a8b38fc33e14c1587b29b648c8ea18842bc591c69f0da746207c349bf5062f","Byte-identical scientific source retained"
"experiments/summaries/stage05.1_best_known_attempt03_gate_evaluation.csv","fe39705f9f94dce47aa142de64ada0a4f7327971801e63e43e274b5fa74f0b9b","329","migrated_unchanged","experiments/summaries/stage05.1_best_known_attempt03_gate_evaluation.csv","fe39705f9f94dce47aa142de64ada0a4f7327971801e63e43e274b5fa74f0b9b","Byte-identical scientific source retained"
"experiments/summaries/stage05.1_best_known_attempt03_review_findings.csv","b8937fc965524f7cd377c783cb1043d1d7d2e4cc4eeed61f146baa2388a5e391","329","migrated_unchanged","experiments/summaries/stage05.1_best_known_attempt03_review_findings.csv","b8937fc965524f7cd377c783cb1043d1d7d2e4cc4eeed61f146baa2388a5e391","Byte-identical scientific source retained"
"experiments/summaries/stage05.1_best_known_attempt03_review_manifest.json","f22a35ef7bbeff8d43cb3b2592503cd389abbb9b6703b8a613a5d430236574f7","841","migrated_unchanged","experiments/summaries/stage05.1_best_known_attempt03_review_manifest.json","f22a35ef7bbeff8d43cb3b2592503cd389abbb9b6703b8a613a5d430236574f7","Byte-identical scientific source retained"
"experiments/summaries/stage05.1_best_known_attempt03_review_report.md","383fa4949ad98251030e16ce73767f8126b61e8c6329f2db3f4f9c4bc3141d64","609","migrated_unchanged","experiments/summaries/stage05.1_best_known_attempt03_review_report.md","383fa4949ad98251030e16ce73767f8126b61e8c6329f2db3f4f9c4bc3141d64","Byte-identical scientific source retained"
"experiments/summaries/stage05.1_best_known_attempt03_summary_report.md","8b26eacf0ebb01df39de744eae888d3d13d07f7a5f9ef551bba5888fd323dc1b","2671","migrated_unchanged","experiments/summaries/stage05.1_best_known_attempt03_summary_report.md","8b26eacf0ebb01df39de744eae888d3d13d07f7a5f9ef551bba5888fd323dc1b","Byte-identical scientific source retained"
"experiments/summaries/stage05.1_best_known_attempt04_bks_data.csv","e0574b0d4d59ba41388efcc591a4351694806a6ad22e20b5a64b265fdd87e29c","52262","migrated_unchanged","experiments/summaries/stage05.1_best_known_attempt04_bks_data.csv","e0574b0d4d59ba41388efcc591a4351694806a6ad22e20b5a64b265fdd87e29c","Byte-identical scientific source retained"
"experiments/summaries/stage05.1_best_known_attempt04_compatibility_assessment.csv","00a8b38fc33e14c1587b29b648c8ea18842bc591c69f0da746207c349bf5062f","1624","migrated_unchanged","experiments/summaries/stage05.1_best_known_attempt04_compatibility_assessment.csv","00a8b38fc33e14c1587b29b648c8ea18842bc591c69f0da746207c349bf5062f","Byte-identical scientific source retained"
"experiments/summaries/stage05.1_best_known_attempt04_gate_evaluation.csv","fe39705f9f94dce47aa142de64ada0a4f7327971801e63e43e274b5fa74f0b9b","329","migrated_unchanged","experiments/summaries/stage05.1_best_known_attempt04_gate_evaluation.csv","fe39705f9f94dce47aa142de64ada0a4f7327971801e63e43e274b5fa74f0b9b","Byte-identical scientific source retained"
"experiments/summaries/stage05.1_best_known_attempt04_review_findings.csv","b8937fc965524f7cd377c783cb1043d1d7d2e4cc4eeed61f146baa2388a5e391","329","migrated_unchanged","experiments/summaries/stage05.1_best_known_attempt04_review_findings.csv","b8937fc965524f7cd377c783cb1043d1d7d2e4cc4eeed61f146baa2388a5e391","Byte-identical scientific source retained"
"experiments/summaries/stage05.1_best_known_attempt04_review_manifest.json","8a1b26215904d0eb9b8f91b12a16d758371da47d471e15eb085a686053fc32a4","841","migrated_unchanged","experiments/summaries/stage05.1_best_known_attempt04_review_manifest.json","8a1b26215904d0eb9b8f91b12a16d758371da47d471e15eb085a686053fc32a4","Byte-identical scientific source retained"
"experiments/summaries/stage05.1_best_known_attempt04_review_report.md","84a1d56acac476a2208f918992b7c9966a16098353dfce64eb54fd4bda9a9956","609","migrated_unchanged","experiments/summaries/stage05.1_best_known_attempt04_review_report.md","84a1d56acac476a2208f918992b7c9966a16098353dfce64eb54fd4bda9a9956","Byte-identical scientific source retained"
"experiments/summaries/stage05.1_best_known_attempt04_summary_report.md","4901cc7677fb34b9e1f631be516153f8d5f87e3f3d00fd9f7abb3d094958c5c5","2671","migrated_unchanged","experiments/summaries/stage05.1_best_known_attempt04_summary_report.md","4901cc7677fb34b9e1f631be516153f8d5f87e3f3d00fd9f7abb3d094958c5c5","Byte-identical scientific source retained"
"experiments/summaries/stage05.1_best_known_attempt05_bks_data.csv","e0574b0d4d59ba41388efcc591a4351694806a6ad22e20b5a64b265fdd87e29c","52262","migrated_unchanged","experiments/summaries/stage05.1_best_known_attempt05_bks_data.csv","e0574b0d4d59ba41388efcc591a4351694806a6ad22e20b5a64b265fdd87e29c","Byte-identical scientific source retained"
"experiments/summaries/stage05.1_best_known_attempt05_compatibility_assessment.csv","00a8b38fc33e14c1587b29b648c8ea18842bc591c69f0da746207c349bf5062f","1624","migrated_unchanged","experiments/summaries/stage05.1_best_known_attempt05_compatibility_assessment.csv","00a8b38fc33e14c1587b29b648c8ea18842bc591c69f0da746207c349bf5062f","Byte-identical scientific source retained"
"experiments/summaries/stage05.1_best_known_attempt05_gate_evaluation.csv","fe39705f9f94dce47aa142de64ada0a4f7327971801e63e43e274b5fa74f0b9b","329","migrated_unchanged","experiments/summaries/stage05.1_best_known_attempt05_gate_evaluation.csv","fe39705f9f94dce47aa142de64ada0a4f7327971801e63e43e274b5fa74f0b9b","Byte-identical scientific source retained"
"experiments/summaries/stage05.1_best_known_attempt05_review_findings.csv","b8937fc965524f7cd377c783cb1043d1d7d2e4cc4eeed61f146baa2388a5e391","329","migrated_unchanged","experiments/summaries/stage05.1_best_known_attempt05_review_findings.csv","b8937fc965524f7cd377c783cb1043d1d7d2e4cc4eeed61f146baa2388a5e391","Byte-identical scientific source retained"
"experiments/summaries/stage05.1_best_known_attempt05_review_manifest.json","604f076c7d257ec39ece76488cafd763fd312a6774bb7c00eaeae37130b389bb","841","migrated_unchanged","experiments/summaries/stage05.1_best_known_attempt05_review_manifest.json","604f076c7d257ec39ece76488cafd763fd312a6774bb7c00eaeae37130b389bb","Byte-identical scientific source retained"
"experiments/summaries/stage05.1_best_known_attempt05_review_report.md","ec5c5b41cae63dca1a5dc9d11366985890421cdd6ec24e3a0be0f277b47969ed","609","migrated_unchanged","experiments/summaries/stage05.1_best_known_attempt05_review_report.md","ec5c5b41cae63dca1a5dc9d11366985890421cdd6ec24e3a0be0f277b47969ed","Byte-identical scientific source retained"
"experiments/summaries/stage05.1_best_known_attempt05_summary_report.md","7a54bd34126a0beab16dcc211c10e48e651570a6962b5ec3e30fd7ecd94304f8","2671","migrated_unchanged","experiments/summaries/stage05.1_best_known_attempt05_summary_report.md","7a54bd34126a0beab16dcc211c10e48e651570a6962b5ec3e30fd7ecd94304f8","Byte-identical scientific source retained"
"experiments/summaries/stage05.1_best_known_attempt06_bks_data.csv","e0574b0d4d59ba41388efcc591a4351694806a6ad22e20b5a64b265fdd87e29c","52262","migrated_unchanged","experiments/summaries/stage05.1_best_known_attempt06_bks_data.csv","e0574b0d4d59ba41388efcc591a4351694806a6ad22e20b5a64b265fdd87e29c","Byte-identical scientific source retained"
"experiments/summaries/stage05.1_best_known_attempt06_compatibility_assessment.csv","00a8b38fc33e14c1587b29b648c8ea18842bc591c69f0da746207c349bf5062f","1624","migrated_unchanged","experiments/summaries/stage05.1_best_known_attempt06_compatibility_assessment.csv","00a8b38fc33e14c1587b29b648c8ea18842bc591c69f0da746207c349bf5062f","Byte-identical scientific source retained"
"experiments/summaries/stage05.1_best_known_attempt06_gate_evaluation.csv","fe39705f9f94dce47aa142de64ada0a4f7327971801e63e43e274b5fa74f0b9b","329","migrated_unchanged","experiments/summaries/stage05.1_best_known_attempt06_gate_evaluation.csv","fe39705f9f94dce47aa142de64ada0a4f7327971801e63e43e274b5fa74f0b9b","Byte-identical scientific source retained"
"experiments/summaries/stage05.1_best_known_attempt06_review_findings.csv","b8937fc965524f7cd377c783cb1043d1d7d2e4cc4eeed61f146baa2388a5e391","329","migrated_unchanged","experiments/summaries/stage05.1_best_known_attempt06_review_findings.csv","b8937fc965524f7cd377c783cb1043d1d7d2e4cc4eeed61f146baa2388a5e391","Byte-identical scientific source retained"
"experiments/summaries/stage05.1_best_known_attempt06_review_manifest.json","7898538e89095213f39049d980898444b1b310b8f54ce52e63c18d19dab1d049","841","migrated_unchanged","experiments/summaries/stage05.1_best_known_attempt06_review_manifest.json","7898538e89095213f39049d980898444b1b310b8f54ce52e63c18d19dab1d049","Byte-identical scientific source retained"
"experiments/summaries/stage05.1_best_known_attempt06_review_report.md","11f8b7d3088877cc18b7217b8f4217a4293145bd461f240e2fbe2868f7903a56","609","migrated_unchanged","experiments/summaries/stage05.1_best_known_attempt06_review_report.md","11f8b7d3088877cc18b7217b8f4217a4293145bd461f240e2fbe2868f7903a56","Byte-identical scientific source retained"
"experiments/summaries/stage05.1_best_known_attempt06_summary_report.md","abe0d1f36c2b1e36626ab32b570865ec78b3a2a78b13260af4b5a6d894a51705","2671","migrated_unchanged","experiments/summaries/stage05.1_best_known_attempt06_summary_report.md","abe0d1f36c2b1e36626ab32b570865ec78b3a2a78b13260af4b5a6d894a51705","Byte-identical scientific source retained"
"experiments/summaries/week03_per_run_results.csv","764be995bf75d2a93fb596e4a1d1ab167f27176143fb9fc630d78413c6cdfad9","9053","school_specific_exclusion","","","Week 1-5 administration, runner, report, template, or school showcase content"
