instance,seed,axis,backend,valid,objective_key,vehicle_count,runtime_seconds,iterations,effective_iterations,started_calls,completed_calls,interrupted_calls,infeasible_calls,exact_call_budget,budget_exhaustions,termination_reason,trace_reconciliation_status,provenance_valid,route_references_valid,candidate_rollback_valid,cache_lifecycle_valid,deadline_context_valid
c101_21,2016,fixed_exact_calls,cpu_batch,True,"[13,1128.674806786,1284.168368264,8]",13,2.8245663329980744,6,5,100,100,0,31,100,1,exact_call_budget_exhausted,pass,True,True,True,True,True
c101_21,2016,wall_clock,cpu_batch,True,"[12,1055.920259047,1386.415951629,8]",12,30.3469326250015,303,302,1614,1614,0,591,,0,wall_clock_deadline,pass,True,True,True,True,True
c104C10,2014,fixed_exact_calls,cpu_batch,True,"[2,377.47582263,939.444619878,5]",2,0.0661708749976242,1,0,100,100,0,63,100,1,exact_call_budget_exhausted,pass,True,True,True,True,True
c104C10,2014,wall_clock,cpu_batch,True,"[2,273.931237129,589.151039592,3]",2,3.858171999996557,1000,1000,2302,2302,0,1114,,0,iteration_limit,pass,True,True,True,True,True
c104C10,2015,fixed_exact_calls,cpu_batch,True,"[2,377.47582263,939.444619878,5]",2,0.06848075000016252,1,0,100,100,0,63,100,1,exact_call_budget_exhausted,pass,True,True,True,True,True
c104C10,2015,wall_clock,cpu_batch,True,"[2,279.933119059,625.368886517,3]",2,3.6166590829998313,1000,1000,1679,1679,0,762,,0,iteration_limit,pass,True,True,True,True,True
c104C10,2016,fixed_exact_calls,cpu_batch,True,"[2,377.47582263,939.444619878,5]",2,0.06659666700215894,1,0,100,100,0,63,100,1,exact_call_budget_exhausted,pass,True,True,True,True,True
c104C10,2016,wall_clock,cpu_batch,True,"[2,279.933119059,625.368886517,3]",2,3.7712328330017044,1000,1000,1694,1694,0,749,,0,iteration_limit,pass,True,True,True,True,True
c106C15,2014,fixed_exact_calls,cpu_batch,True,"[3,348.705198939,566.347008189,3]",3,0.06023891600125353,3,2,100,100,0,27,100,1,exact_call_budget_exhausted,pass,True,True,True,True,True
c106C15,2014,wall_clock,cpu_batch,True,"[3,275.133168873,437.989595186,2]",3,4.579848916000628,1000,1000,1475,1475,0,663,,0,iteration_limit,pass,True,True,True,True,True
c106C15,2015,fixed_exact_calls,cpu_batch,True,"[3,348.705198939,566.347008189,3]",3,0.060421416001190664,3,2,100,100,0,27,100,1,exact_call_budget_exhausted,pass,True,True,True,True,True
c106C15,2015,wall_clock,cpu_batch,True,"[3,298.193048757,466.827628929,2]",3,4.55740833299933,1000,1000,1276,1276,0,536,,0,iteration_limit,pass,True,True,True,True,True
c106C15,2016,fixed_exact_calls,cpu_batch,True,"[3,348.705198939,566.347008189,3]",3,0.06042075000004843,3,2,100,100,0,27,100,1,exact_call_budget_exhausted,pass,True,True,True,True,True
c106C15,2016,wall_clock,cpu_batch,True,"[3,275.133168873,437.989595186,2]",3,5.197053750001942,1000,1000,1502,1502,0,591,,0,iteration_limit,pass,True,True,True,True,True
r101_21,2014,fixed_exact_calls,cpu_batch,True,"[22,1850.191982759,426.082624324,25]",22,2.937510542000382,7,6,100,100,0,18,100,1,exact_call_budget_exhausted,pass,True,True,True,True,True
r101_21,2014,wall_clock,cpu_batch,True,"[20,1735.080023474,396.51781678,23]",20,30.000488792000397,388,388,1902,1902,0,440,,0,wall_clock_deadline,pass,True,True,True,True,True
r101_21,2015,fixed_exact_calls,cpu_batch,True,"[22,1869.165615796,451.745020195,26]",22,2.94818737499736,7,6,100,100,0,21,100,1,exact_call_budget_exhausted,pass,True,True,True,True,True
r101_21,2015,wall_clock,cpu_batch,True,"[20,1760.928139464,429.112245686,23]",20,30.000455708002846,466,466,1860,1860,0,418,,0,wall_clock_deadline,pass,True,True,True,True,True
r101_21,2016,fixed_exact_calls,cpu_batch,True,"[23,1879.686866393,426.082624324,25]",23,2.9917372919990157,6,5,100,100,0,20,100,1,exact_call_budget_exhausted,pass,True,True,True,True,True
r101_21,2016,wall_clock,cpu_batch,True,"[20,1718.126450884,387.496489613,24]",20,30.0005060830008,391,391,1620,1619,1,381,,0,wall_clock_deadline,pass,True,True,True,True,True
