axis,count,instance,reason,seed,status
serial_fixed_exact_calls,5472,rc101_21,capacity_prefilter,2016,prefilter_rejected_aggregate
serial_fixed_exact_calls,8128,rc101_21,time_window_prefilter,2016,prefilter_rejected_aggregate
serial_fixed_exact_calls,1863,rc101_21,forward_time_window_prefilter,2016,rejected
parallel_fixed_exact_calls,952,rc101_21,forward_time_window_prefilter,2016,negative_cache_hit
parallel_fixed_exact_calls,29615,rc101_21,,2016,pass
parallel_fixed_exact_calls,5472,rc101_21,capacity_prefilter,2016,prefilter_rejected_aggregate
parallel_fixed_exact_calls,8128,rc101_21,time_window_prefilter,2016,prefilter_rejected_aggregate
parallel_fixed_exact_calls,1863,rc101_21,forward_time_window_prefilter,2016,rejected
serial_wall_clock,952,rc101_21,forward_time_window_prefilter,2016,negative_cache_hit
serial_wall_clock,29711,rc101_21,,2016,pass
serial_wall_clock,9510,rc101_21,capacity_prefilter,2016,prefilter_rejected_aggregate
serial_wall_clock,14290,rc101_21,time_window_prefilter,2016,prefilter_rejected_aggregate
serial_wall_clock,1863,rc101_21,forward_time_window_prefilter,2016,rejected
parallel_wall_clock,952,rc101_21,forward_time_window_prefilter,2016,negative_cache_hit
parallel_wall_clock,29711,rc101_21,,2016,pass
parallel_wall_clock,9510,rc101_21,capacity_prefilter,2016,prefilter_rejected_aggregate
parallel_wall_clock,14290,rc101_21,time_window_prefilter,2016,prefilter_rejected_aggregate
parallel_wall_clock,1863,rc101_21,forward_time_window_prefilter,2016,rejected
serial_fixed_exact_calls,11,rc105C5,forward_time_window_prefilter,2014,negative_cache_hit
serial_fixed_exact_calls,117,rc105C5,,2014,pass
serial_fixed_exact_calls,40,rc105C5,time_window_prefilter,2014,prefilter_rejected_aggregate
serial_fixed_exact_calls,29,rc105C5,forward_time_window_prefilter,2014,rejected
parallel_fixed_exact_calls,11,rc105C5,forward_time_window_prefilter,2014,negative_cache_hit
parallel_fixed_exact_calls,117,rc105C5,,2014,pass
parallel_fixed_exact_calls,40,rc105C5,time_window_prefilter,2014,prefilter_rejected_aggregate
