axis,instance,not_worse,objective_key,seed,stage033_wall_clock_objective
serial_fixed_exact_calls,rc105C5,True,"[2,241.296391877,59.789763586,3]",2014,"[2,241.296391877,59.789763586,3]"
parallel_fixed_exact_calls,rc105C5,True,"[2,241.296391877,59.789763586,3]",2014,"[2,241.296391877,59.789763586,3]"
serial_wall_clock,rc105C5,True,"[2,241.296391877,59.789763586,3]",2014,"[2,241.296391877,59.789763586,3]"
parallel_wall_clock,rc105C5,True,"[2,241.296391877,59.789763586,3]",2014,"[2,241.296391877,59.789763586,3]"
serial_fixed_exact_calls,rc105C5,True,"[2,241.296391877,59.789763586,3]",2015,"[2,241.296391877,59.789763586,3]"
parallel_fixed_exact_calls,rc105C5,True,"[2,241.296391877,59.789763586,3]",2015,"[2,241.296391877,59.789763586,3]"
serial_wall_clock,rc105C5,True,"[2,241.296391877,59.789763586,3]",2015,"[2,241.296391877,59.789763586,3]"
parallel_wall_clock,rc105C5,True,"[2,241.296391877,59.789763586,3]",2015,"[2,241.296391877,59.789763586,3]"
serial_fixed_exact_calls,rc105C5,True,"[2,241.296391877,59.789763586,3]",2016,"[2,241.296391877,59.789763586,3]"
parallel_fixed_exact_calls,rc105C5,True,"[2,241.296391877,59.789763586,3]",2016,"[2,241.296391877,59.789763586,3]"
serial_wall_clock,rc105C5,True,"[2,241.296391877,59.789763586,3]",2016,"[2,241.296391877,59.789763586,3]"
parallel_wall_clock,rc105C5,True,"[2,241.296391877,59.789763586,3]",2016,"[2,241.296391877,59.789763586,3]"
